,area,eccentricity,centroid-0,centroid-1,mean_intensity,centroid_int,RNA,rep
29,4.778123929142421,0.7553153565729829,132.61710794297352,254.4725050916497,20044.90631364562,24643.2,no,1
30,5.128454807857548,0.5511554825924918,134.57495256166982,354.22201138519927,24940.958254269448,30329.8,no,1
31,2.6858700701493037,0.2991217711312687,151.8804347826087,223.68840579710144,16724.829710144928,20738.8,no,1
32,6.043207657835934,0.5891059978518227,162.29790660225441,378.9838969404187,24200.956521739132,26773.6,no,1
33,3.84390825256875,0.2248504926369048,172.83291139240507,334.17215189873417,22516.0,26698.4,no,1
34,4.875438062118845,0.42254821437283024,180.30738522954093,174.01596806387226,21932.05988023952,24437.4,no,1
35,5.352277313703323,0.5192730387883406,182.1890909090909,91.66727272727273,22353.269090909092,24794.4,no,1
37,0.31140522552455696,0.7177563882837694,182.40625,205.125,13949.125,17055.0,no,1
39,0.45737642498919306,0.6209911602879965,202.2127659574468,209.0,13658.170212765957,13389.2,no,1
40,8.709614901389953,0.6233640836856719,213.13743016759776,48.126256983240225,22572.42122905028,26054.8,no,1
41,3.123783668543212,0.2503325998960254,217.25233644859813,233.5607476635514,22122.545171339563,25848.2,no,1
43,0.6130790377514715,0.456262030830719,223.9047619047619,246.11111111111111,20576.619047619046,27693.4,no,1
44,3.6882056398064713,0.3378759672500703,225.07915567282322,309.9894459102902,23666.501319261213,31061.2,no,1
45,0.7201245840255379,0.3347607062041147,231.21621621621622,117.36486486486487,16416.013513513513,20070.8,no,1
46,0.5546905579656171,0.527418336343688,231.75438596491227,125.0,16920.947368421053,20347.8,no,1
48,4.495912943510791,0.4855880301452244,239.71212121212122,297.23376623376623,23736.454545454544,27599.2,no,1
50,2.948618229185649,0.17247244516388258,239.3894389438944,199.67656765676568,22466.036303630364,26306.8,no,1
51,1.3526664483722943,0.556414576362105,242.94244604316546,128.19424460431654,17207.21582733813,23604.2,no,1
52,1.2456209020982278,0.26047106302566975,256.421875,332.4296875,15676.2109375,18895.0,no,1
53,1.5181004744322153,0.648138479508662,262.2628205128205,230.46794871794873,16819.46794871795,17943.8,no,1
54,1.6738030871944938,0.5912313625586884,273.0406976744186,233.32558139534885,17458.779069767443,19200.0,no,1
57,3.60062292012769,0.46584792758856597,283.3,32.189189189189186,21706.705405405406,28905.6,no,1
59,1.2845465552887974,0.29348068582581216,287.6818181818182,93.87878787878788,16730.303030303032,20065.6,no,1
62,1.0509926361453799,0.3020602281470475,299.1296296296296,101.00925925925925,18575.296296296296,21647.2,no,1
64,1.2358894888005854,0.48088172185614975,310.70866141732284,345.34645669291336,13495.937007874016,13898.4,no,1
65,4.476450116915506,0.46712241016255857,313.9065217391304,388.7304347826087,23015.33260869565,28045.8,no,1
67,4.583495663189573,0.8509705227449975,326.0297239915074,251.2208067940552,20931.575371549894,25640.4,no,1
68,2.140910925481329,0.740662388620675,333.2409090909091,380.35,16648.772727272728,19184.6,no,1
69,2.715064310042231,0.20317219831827227,348.5089605734767,311.39068100358423,20594.179211469534,28651.2,no,1
72,4.758661102547136,0.5359059416184857,351.7525562372188,478.6134969325153,21264.934560327198,22546.6,no,1
74,2.4620475643035284,0.16477672491091302,361.8814229249012,96.30434782608695,14541.371541501976,17104.6,no,1
75,2.1798365786718987,0.6710248707342976,361.8482142857143,450.0982142857143,18663.866071428572,21918.8,no,1
76,2.734527136637516,0.6002627079983054,364.7259786476868,491.62989323843414,22499.512455516015,24025.4,no,1
77,3.2016349749243513,0.6798211104570143,364.90273556231006,32.504559270516715,20370.483282674773,27426.4,no,1
80,4.096924998307452,0.48737298065795714,376.8456057007126,382.7363420427553,22169.53919239905,30282.0,no,1
81,0.7493188239184652,0.7903251236020884,380.24675324675326,209.02597402597402,14121.285714285714,13527.6,no,1
84,0.9244842632760285,0.7249192358630854,387.4736842105263,211.45263157894738,14615.126315789474,15405.0,no,1
87,3.5033087871512656,0.3300309493018364,392.2055555555556,298.59166666666664,20466.119444444445,23447.8,no,1
88,5.9458935248595095,0.34208790569793013,413.7806873977087,450.14729950900164,23364.91653027823,28157.4,no,1
89,2.6761386568516614,0.41008145275076535,417.82545454545453,65.16727272727273,20682.563636363637,23330.4,no,1
90,3.892565319056962,0.44441037781240517,424.605,37.44,22595.69,25100.6,no,1
91,2.1214480988860442,0.8198883578564111,428.0183486238532,54.11009174311926,17724.376146788993,17601.0,no,1
92,4.739198275951852,0.5159123460763401,431.11293634496917,358.49281314168377,21070.457905544146,26921.0,no,1
93,2.5593616972799524,0.7232402854535387,434.72243346007605,472.49049429657794,22104.64258555133,34030.4,no,1
94,0.6811989308349684,0.46081933881349557,437.1142857142857,460.1714285714286,18279.414285714287,19508.6,no,1
95,1.634877434003924,0.43372091364025445,447.2797619047619,460.8154761904762,22416.630952380954,28137.6,no,1
96,1.7224601536827058,0.543594647210065,447.73446327683615,347.6271186440678,21355.20338983051,25995.6,no,1
97,1.7516543935756328,0.8413770471917429,455.81111111111113,208.65,17135.57222222222,21471.0,no,1
98,8.437135329055964,0.5333993270874594,459.75086505190313,135.36332179930795,23428.079584775085,24449.2,no,1
100,0.27247957233398734,0.8998508410778568,463.07142857142856,470.0357142857143,13001.785714285714,13054.2,no,1
102,0.8077073037043196,0.6298525328108912,466.04819277108436,476.06024096385545,13794.036144578313,14570.8,no,1
103,1.1483067691218038,0.4954842317938071,473.58474576271186,154.98305084745763,18064.21186440678,17751.8,no,1
106,0.3892565319056962,0.7832691930361861,483.45,345.55,15102.75,18963.8,no,1
1,2.7734527898280854,0.6051938607253843,12.743859649122808,174.36491228070176,8645.954385964913,9976.0,no,2
6,2.929155402590364,0.3645833024372317,23.448504983388705,413.90033222591364,10515.93023255814,15426.4,no,2
8,0.27247957233398734,0.8610714391759421,36.107142857142854,68.96428571428571,6624.285714285715,6940.6,no,2
10,1.469443407944003,0.7053718820605158,43.602649006622514,75.52317880794702,8110.0066225165565,8726.2,no,2
11,6.948229094516678,0.8116738828629368,47.450980392156865,306.2773109243698,10195.210084033613,12316.6,no,2
12,1.7613858068732753,0.6788046588564188,47.790055248618785,65.1878453038674,8177.8729281767955,9349.0,no,2
14,0.8271701302996044,0.5279165470047882,60.11764705882353,97.43529411764706,6837.835294117647,7257.0,no,2
16,0.3989879452033386,0.5974085443181523,60.97560975609756,292.5853658536585,7910.829268292683,7443.0,no,2
17,3.6103543334253323,0.480544988469096,62.7277628032345,40.76280323450135,8531.991913746631,10551.8,no,2
18,6.987154747707247,0.6119055705128259,65.0849582172702,189.16713091922006,8967.125348189415,11027.2,no,2
25,7.045543227493101,0.25817169203079154,88.74309392265194,341.2955801104972,10894.016574585636,13899.4,no,2
26,4.982483608392911,0.769271536741944,88.087890625,172.0703125,9515.775390625,12801.2,no,2
27,0.3697937053104114,0.5890611351828161,89.60526315789474,446.2631578947368,8210.21052631579,8162.8,no,2
