,time,Cnorm_grn,Cnorm_red,NF_ratio,rep,im_nr,drop_id
34,93,0.3260161508065897,-0.7076566125290021,0,2,1,17
35,96,0.33155371122696287,-13.145161290322557,0,2,1,17
36,99,0.3247396575529846,0.6878306878306876,0,2,1,17
37,102,0.31631317357820576,-0.11671335200746964,0,2,1,17
38,105,0.295644828166332,-1.7650130548302865,0,2,1,17
39,108,0.3086808368259783,-1.7441860465116261,0,2,1,17
0,-9,1.1094846232559847,1.772913816689467,0,2,2,4
1,-6,1.04461287774047,0.7439824945295404,0,2,2,4
2,-3,1.0104305051883236,3.868263473053888,0,2,2,4
3,0,0.0,-0.0,0,2,2,4
4,3,0.10957307836198489,-0.8529411764705883,0,2,2,4
5,6,0.15271511078766858,-3.2524964336661895,0,2,2,4
6,9,0.18498171920448955,-1.357894736842105,0,2,2,4
7,12,0.23002479404942816,1.13972602739726,0,2,2,4
8,15,0.1927021255271415,-2.9403973509933765,0,2,2,4
9,18,0.17858316947754296,1.0846286701208983,0,2,2,4
10,21,0.20666702972873216,1.2243684992570583,0,2,2,4
11,24,0.18710300009772304,0.2799616490891657,0,2,2,4
12,27,0.23407168445336382,0.2949061662198391,0,2,2,4
13,30,0.2211495730504328,0.9329896907216495,0,2,2,4
14,33,0.1857223541790779,0.24866785079928952,0,2,2,4
15,36,0.22639839264846826,2.5681444991789806,0,2,2,4
16,39,0.20544816235598914,-1.1827057182705722,0,2,2,4
17,42,0.2551192610552196,1.7181208053691281,0,2,2,4
18,45,0.24629732345635058,-0.2898550724637681,0,2,2,4
19,48,0.2464976332654777,0.6191950464396283,0,2,2,4
20,51,0.2142255041322828,-3.125714285714286,0,2,2,4
21,54,0.2231045530775199,-0.47951441578148635,0,2,2,4
22,57,0.2580639137525365,-0.6797385620915029,0,2,2,4
23,60,0.2557568567974833,-2.557971014492754,0,2,2,4
24,63,0.24609267891417608,0.18816388467374817,0,2,2,4
25,66,0.25376843535480403,1.8280329799764423,0,2,2,4
26,69,0.2465620418964456,9.199999999999942,0,2,2,4
27,72,0.22003919699459257,5.293617021276596,0,2,2,4
28,75,0.23685087766641377,1.9223880597014935,0,2,2,4
29,78,0.25377635923053393,-1.0332681017612522,0,2,2,4
30,81,0.22532017950663777,2.039318479685452,0,2,2,4
31,84,0.25987469616628023,-1.4590673575129536,0,2,2,4
32,87,0.24485525157498692,-2.4156692056583244,0,2,2,4
33,90,0.2718561505622445,2.4409448818897643,0,2,2,4
34,93,0.2518136864822687,-0.37430167597765335,0,2,2,4
35,96,0.2567358132514217,0.25577264653641213,0,2,2,4
36,99,0.241392768318347,0.774748923959828,0,2,2,4
37,102,0.23071062186984947,1.844106463878327,0,2,2,4
38,105,0.28248816725895376,-0.5567765567765561,0,2,2,4
39,108,0.26521206953904386,4.541176470588235,0,2,2,4
0,-9,1.117932221237688,0.9872151195108394,0,2,2,7
1,-6,1.1031593522130994,0.8257770173937838,0,2,2,7
2,-3,1.0723972263807025,1.11417004048583,0,2,2,7
3,0,0.0,-0.0,0,2,2,7
4,3,0.14944213070080722,1.072327044025157,0,2,2,7
5,6,0.22990483673542272,0.045118082481494376,0,2,2,7
6,9,0.2716928382933138,0.7941988950276244,0,2,2,7
7,12,0.266955350047794,0.3921842288904396,0,2,2,7
8,15,0.2971477705997488,0.6937041328698338,0,2,2,7
9,18,0.2810353798126951,0.3618700667880996,0,2,2,7
10,21,0.3054143800458803,0.3859024563901744,0,2,2,7
11,24,0.33082697144027284,0.45674740484429066,0,2,2,7
12,27,0.39234845106628535,0.3704520396912899,0,2,2,7
13,30,0.3409839236069141,0.8188720173535793,0,2,2,7
14,33,0.3250321615654287,0.6410457516339869,0,2,2,7
15,36,0.313513115976185,1.326047358834244,0,2,2,7
16,39,0.35545300581601447,0.5930599369085174,0,2,2,7
17,42,0.330053339133653,0.36701509872241567,0,2,2,7
18,45,0.3365995351793797,0.43389383448730623,0,2,2,7
19,48,0.3936783186083521,1.2609633357296908,0,2,2,7
20,51,0.3536296175487238,0.4950634696755994,0,2,2,7
21,54,0.3982014506547638,0.42790697674418593,0,2,2,7
22,57,0.35268775090570836,0.5080058224163028,0,2,2,7
23,60,0.30621795950065156,0.0892857142857143,0,2,2,7
